magnitude, cname, brightness, sname, rh, rm, rs, dd, dm , ds
2.77, Hercules, bet, Kornephoros, 16, 30, 13, 21, 29, 22
3.75, Hercules, gam, Gamma Herculis, 16, 21, 55, 19, 9, 11
3.14, Hercules, del, Sarin, 17, 15, 1, 24, 50, 21
3.92, Hercules, eps, Epsilon Herculis, 17, 0, 17, 30, 55, 55
2.81, Hercules, zet, Zeta Herculis, 16, 41, 17, 31, 36, 11
3.53, Hercules, eta, Eta Herculis, 16, 42, 53, 38, 55, 19
3.86, Hercules, the, Theta Herculis, 17, 56, 15, 37, 15, 2
3.8, Hercules, iot, Iota Herculis, 17, 39, 27, 46, 0, 23
4.41, Hercules, lam, Maasym, 17, 30, 44, 26, 6, 38
3.42, Hercules, mu, Mu Herculis, 17, 46, 27, 27, 43, 14
3.16, Hercules, pi, Pi Herculis, 17, 15, 2, 36, 48, 33
3.83, Hercules, omi, Omicron Herculis, 18, 7, 32, 28, 45, 44
4.52, Hercules, rho, Rho Herculis, 17, 23, 40, 37, 8, 44
4.2, Hercules, sig, Sigma Herculis, 16, 34, 6, 42, 26, 12
3.89, Hercules, tau, Tau Herculis, 16, 19, 44, 46, 18, 47
4.26, Hercules, phi, Phi Herculis, 16, 8, 46, 44, 56, 6
3.7, Hercules, xi, Xi Herculis, 17, 57, 45, 29, 14, 52
0.03, Lyra, alp, Vega, 18, 36, 56, 38, 47, 0
3.45, Lyra, bet, Sheliak, 18, 50, 4, 33, 21, 46
3.24, Lyra, gam, Gamma Lyrae, 18, 58, 56, 32, 41, 21
4.3, Lyra, del, Delta Lyrae 2, 18, 54, 30, 36, 53, 56
5.14, Lyra, eps, Epsilon Lyrae 2, 18, 44, 22, 39, 36, 47
4.36, Lyra, zet, Zeta Lyrae 1, 18, 44, 46, 37, 36, 17
1.25, Cygnus, alp, Deneb, 20, 41, 25, 45, 16, 49
3.08, Cygnus, bet, Albireo, 19, 30, 43, 27, 57, 34
2.2, Cygnus, gam, Sadr, 20, 22, 13, 40, 15, 24
2.87, Cygnus, del, Fawaris, 19, 44, 58, 45, 7, 50
2.46, Cygnus, eps, Aljanah, 20, 46, 12, 33, 58, 13
3.2, Cygnus, zet, Zeta Cygni, 21, 12, 56, 30, 13, 36
3.79, Cygnus, iot, Iota Cygni 2, 19, 29, 42, 51, 43, 46
3.77, Lacerta, alp, Alpha Lacertae, 22, 31, 17, 50, 16, 56
4.43, Lacerta, bet, Beta Lacertae, 22, 23, 33, 52, 13, 45
4.13, Lacerta, 1, 1 Lacertae, 22, 15, 58, 37, 44, 56
4.57, Lacerta, 2, 2 Lacertae, 22, 21, 1, 46, 32, 12
4.57, Lacerta, 4, 4 Lacertae, 22, 24, 30, 49, 28, 35
4.36, Lacerta, 5, 5 Lacertae, 22, 29, 31, 47, 42, 24
4.51, Lacerta, 6, 6 Lacertae, 22, 30, 29, 43, 07, 23
4.46, Lacerta, 11, 11 Lacertae, 22, 40, 30, 44, 16, 35

2.0, Cet, bet, Diphda, 0, 43, 35, -17, 59, 12
1.7, Cet, omi, Mira, 2, 19, 20, -2, 58, 39
